,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
37,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011201,融资成本,11981000000.0
38,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011202,应占联营公司溢利,25176000000.0
39,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011997,溢利其他项目,4187000000.0
40,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004011999,除税前溢利,241485000000.0
41,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012001,税项,45018000000.0
42,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,196467000000.0
43,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004012999,除税后溢利,196467000000.0
44,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025001,少数股东损益,2394000000.0
45,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,194073000000.0
46,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,20.938
47,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,20.486
48,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,87875000000.0
49,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004030999,其他全面收益,87875000000.0
50,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004039999,全面收益总额,284342000000.0
51,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,5333000000.0
52,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,279009000000.0
53,00700.HK,00700,腾讯控股,10009066,2024-12-31 00:00:00,001,12-31,2024-01-01 00:00:00,004099999,非运算项目,-311011000000.0
54,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004001001,营业额,482347000000.0
55,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004001002,其他营业收入,5464000000.0
56,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004001999,营运收入,487811000000.0
57,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004005001,营运支出,229218000000.0
58,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004007999,毛利,258593000000.0
59,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010002,其他收益,5489000000.0
60,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,26103000000.0
61,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010004,行政开支,81358000000.0
62,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004010999,经营溢利,156621000000.0
63,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011200,利息收入,12094000000.0
64,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011201,融资成本,9469000000.0
65,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011202,应占联营公司溢利,15923000000.0
66,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011997,溢利其他项目,3068000000.0
67,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004011999,除税前溢利,178237000000.0
68,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004012001,税项,33237000000.0
69,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,145000000000.0
